"File","Line","Pattern","Content"
"src\agent\action_executor.hpp","99","Q_OBJECT","Q_OBJECT"
"src\agent\agent_hot_patcher.hpp","79","Q_OBJECT","Q_OBJECT"
"src\agent\agentic_copilot_bridge.hpp","33","Q_OBJECT","Q_OBJECT"
"src\agent\agentic_failure_detector.hpp","36","Q_OBJECT","Q_OBJECT"
"src\agent\agentic_puppeteer.hpp","42","Q_OBJECT","Q_OBJECT"
"src\agent\agentic_puppeteer.hpp","102","Q_OBJECT","Q_OBJECT"
"src\agent\agentic_puppeteer.hpp","117","Q_OBJECT","Q_OBJECT"
"src\agent\agentic_puppeteer.hpp","132","Q_OBJECT","Q_OBJECT"
"src\agent\auto_bootstrap.hpp","7","Q_OBJECT","Q_OBJECT"
"src\agent\auto_update.hpp","6","Q_OBJECT","Q_OBJECT"
"src\agent\code_signer.hpp","16","Q_OBJECT","Q_OBJECT"
"src\agent\gguf_proxy_server.hpp","53","Q_OBJECT","Q_OBJECT"
"src\agent\hot_reload.hpp","6","Q_OBJECT","Q_OBJECT"
"src\agent\ide_agent_bridge_hot_patching_integration.hpp","42","Q_OBJECT","Q_OBJECT"
"src\agent\ide_agent_bridge.hpp","73","Q_OBJECT","Q_OBJECT"
"src\agent\instruction_loader_test.cpp","8","Q_OBJECT","Q_OBJECT"
"src\agent\meta_learn.hpp","19","Q_OBJECT","Q_OBJECT"
"src\agent\model_invoker.hpp","80","Q_OBJECT","Q_OBJECT"
"src\agent\release_agent.hpp","6","Q_OBJECT","Q_OBJECT"
"src\agent\self_code.cpp","75","Q_OBJECT","bool needMoc = h.contains(""Q_OBJECT"") || h.contains(""Q_PROPERTY"") ||"
"src\agent\self_patch.hpp","6","Q_OBJECT","Q_OBJECT"
"src\agent\self_test.hpp","8","Q_OBJECT","Q_OBJECT"
"src\agent\sentry_integration.hpp","19","Q_OBJECT","Q_OBJECT"
"src\agent\telemetry_collector.hpp","22","Q_OBJECT","Q_OBJECT"
"src\agent\zero_touch.hpp","7","Q_OBJECT","Q_OBJECT"
"src\compiler\rawrxd_compiler_qt.hpp","334","Q_OBJECT","Q_OBJECT"
"src\compiler\rawrxd_compiler_qt.hpp","579","Q_OBJECT","Q_OBJECT"
"src\compiler\rawrxd_compiler_qt.hpp","642","Q_OBJECT","Q_OBJECT"
"src\compiler\rawrxd_compiler_qt.hpp","724","Q_OBJECT","Q_OBJECT"
"src\compiler\rawrxd_compiler_qt.hpp","776","Q_OBJECT","Q_OBJECT"
"src\compiler\rawrxd_compiler_qt.hpp","824","Q_OBJECT","Q_OBJECT"
"src\compiler\rawrxd_compiler_qt.hpp","875","Q_OBJECT","Q_OBJECT"
"src\compiler\rawrxd_compiler_qt.hpp","931","Q_OBJECT","Q_OBJECT"
"src\git\ai_merge_resolver.hpp","26","Q_OBJECT","Q_OBJECT"
"src\git\semantic_diff_analyzer.hpp","26","Q_OBJECT","Q_OBJECT"
"src\llm_adapter\GGUFRunner.h","43","Q_OBJECT","Q_OBJECT"
"src\masm\MASMCompilerWidget.h","124","Q_OBJECT","Q_OBJECT"
"src\masm\MASMCompilerWidget.h","182","Q_OBJECT","Q_OBJECT"
"src\masm\MASMCompilerWidget.h","215","Q_OBJECT","Q_OBJECT"
"src\masm\MASMCompilerWidget.h","245","Q_OBJECT","Q_OBJECT"
"src\masm\MASMCompilerWidget.h","274","Q_OBJECT","Q_OBJECT"
"src\masm\MASMCompilerWidget.h","302","Q_OBJECT","Q_OBJECT"
"src\masm\MASMCompilerWidget.h","346","Q_OBJECT","Q_OBJECT"
"src\masm\MASMCompilerWidget.h","452","Q_OBJECT","Q_OBJECT"
