"Path","LineNumber","Line"
"D:\rawrxd\src\agent\action_executor.cpp","584","// Private  implementations - called by Qt signal/ mechanism"
"D:\rawrxd\src\agent\action_executor.hpp","79"," * @note Thread-safe via Qt signal/ mechanism"
"D:\rawrxd\src\agent\action_executor.hpp","94","     * @param parent Qt parent object"
"D:\rawrxd\src\agent\agent_hot_patcher.hpp","216","// Qt meta-type registration (must be outside class definition)"
"D:\rawrxd\src\agent\auto_bootstrap.cpp","40","    void* clip = QApplication::clipboard();"
"D:\rawrxd\src\agent\auto_update.cpp","64","    std::string localVer = QApplication::applicationVersion();"
"D:\rawrxd\src\agent\auto_update.cpp","74","                        + ""/updates/RawrXD-QtShell-"" + remoteVer + "".exe"";"
"D:\rawrxd\src\agent\gguf_proxy_server.hpp","41"," * The class is fully Qt‑signal‑ aware – all public s are queued so"
"D:\rawrxd\src\agent\ide_agent_bridge.hpp","43"," * @note Thread-safe via Qt signal/ mechanism"
"D:\rawrxd\src\agent\ide_agent_bridge.hpp","62","     * @param parent Qt parent object"
"D:\rawrxd\src\agent\meta_learn.cpp","269","    // Note: void* doesn't have reserve() in Qt 6.7"
"D:\rawrxd\src\agent\meta_planner.cpp","59","    plan.append(task(""sign_binary"", ""RawrXD-QtShell.exe"", void*{}));"
"D:\rawrxd\src\agent\meta_planner.cpp","60","    plan.append(task(""upload_cdn"", ""RawrXD-QtShell.exe"", void*{}));"
"D:\rawrxd\src\agent\model_invoker.hpp","55"," * @note Thread-safe via Qt's signal/ mechanism"
"D:\rawrxd\src\agent\model_invoker.hpp","74","     * @param parent Qt parent object"
"D:\rawrxd\src\agent\planner.cpp","129","        {""target"", ""RawrXD-QtShell""}"
"D:\rawrxd\src\agent\planner.cpp","248","cmake --build build --config Release --target RawrXD-QtShell"
"D:\rawrxd\src\agent\planner.cpp","254","./build/bin/Release/RawrXD-QtShell.exe"
"D:\rawrxd\src\agent\planner.cpp","258","./build/bin/Release/RawrXD-QtShell.exe"
"D:\rawrxd\src\agent\planner.cpp","265","./build/bin/Release/RawrXD-QtShell.exe"
